ts_code,trade_date
000430.SZ,2020-12-10
000430.SZ,2020-12-11
000430.SZ,2020-12-14
000430.SZ,2020-12-15
000430.SZ,2020-12-16
000430.SZ,2020-12-17
000430.SZ,2020-12-18
000430.SZ,2020-12-21
000430.SZ,2020-12-22
000430.SZ,2020-12-23
000430.SZ,2020-12-24
000430.SZ,2020-12-25
000430.SZ,2020-12-28
000430.SZ,2020-12-29
000430.SZ,2020-12-30
000430.SZ,2020-12-31
000430.SZ,2021-01-04
000430.SZ,2021-01-05
000430.SZ,2021-01-06
000430.SZ,2021-01-07
000430.SZ,2021-01-08
000430.SZ,2021-01-11
000430.SZ,2021-01-12
000430.SZ,2021-01-13
000430.SZ,2021-01-14
000430.SZ,2021-01-15
000430.SZ,2021-01-18
000430.SZ,2021-01-19
000430.SZ,2021-01-20
000430.SZ,2021-01-21
000430.SZ,2021-01-22
000430.SZ,2021-01-25
000430.SZ,2021-01-26
000430.SZ,2021-01-27
000430.SZ,2021-01-28
000430.SZ,2021-01-29
000430.SZ,2021-02-01
000430.SZ,2021-02-02
000430.SZ,2021-02-03
000430.SZ,2021-02-04
000430.SZ,2021-02-05
000430.SZ,2021-02-08
000430.SZ,2021-02-09
000430.SZ,2021-02-10
000430.SZ,2021-02-18
000430.SZ,2021-02-19
000430.SZ,2021-02-22
000430.SZ,2021-02-23
000430.SZ,2021-02-24
000430.SZ,2021-02-25
000430.SZ,2021-02-26
000430.SZ,2021-03-01
000430.SZ,2021-03-02
000430.SZ,2021-03-03
000430.SZ,2021-03-04
000430.SZ,2021-03-05
000430.SZ,2021-03-08
000430.SZ,2021-03-09
000430.SZ,2021-03-10
000430.SZ,2021-03-11
000430.SZ,2021-03-12
000430.SZ,2021-03-15
000430.SZ,2021-03-16
000430.SZ,2021-03-17
000430.SZ,2021-03-18
000430.SZ,2021-03-19
000430.SZ,2021-03-22
000430.SZ,2021-03-23
000430.SZ,2021-03-24
000430.SZ,2021-03-25
000430.SZ,2021-03-26
000430.SZ,2021-03-29
000430.SZ,2021-03-30
000430.SZ,2021-03-31
000430.SZ,2021-04-01
000430.SZ,2021-04-02
000430.SZ,2021-04-06
000430.SZ,2021-04-07
000430.SZ,2021-04-08
000430.SZ,2021-04-09
000430.SZ,2021-04-12
000430.SZ,2021-04-13
000430.SZ,2021-04-14
000430.SZ,2021-04-15
000430.SZ,2021-04-16
000430.SZ,2021-04-19
000430.SZ,2021-04-20
000430.SZ,2021-04-21
000430.SZ,2021-04-22
000430.SZ,2021-04-23
000430.SZ,2021-04-26
000430.SZ,2021-04-27
000430.SZ,2021-04-28
000430.SZ,2021-04-29
000430.SZ,2021-04-30
000430.SZ,2021-05-06
000430.SZ,2021-05-07
000430.SZ,2021-05-10
000430.SZ,2021-05-11
000430.SZ,2021-05-12
000430.SZ,2021-05-13
000430.SZ,2021-05-14
000430.SZ,2021-05-17
000430.SZ,2021-05-18
000430.SZ,2021-05-19
000430.SZ,2021-05-20
000430.SZ,2021-05-21
000430.SZ,2021-05-24
000430.SZ,2021-05-25
000430.SZ,2021-05-26
000430.SZ,2021-05-27
000430.SZ,2021-05-28
000430.SZ,2021-05-31
000430.SZ,2021-06-01
000430.SZ,2021-06-02
000430.SZ,2021-06-03
000430.SZ,2021-06-04
000430.SZ,2021-06-07
000430.SZ,2021-06-08
000430.SZ,2021-06-09
000430.SZ,2021-06-10
000430.SZ,2021-06-11
000430.SZ,2021-06-15
000430.SZ,2021-06-16
000430.SZ,2021-06-17
000430.SZ,2021-06-18
000430.SZ,2021-06-21
000430.SZ,2021-06-22
000430.SZ,2021-06-23
000430.SZ,2021-06-24
000430.SZ,2021-06-25
000430.SZ,2021-06-28
000430.SZ,2021-06-29
000430.SZ,2021-06-30
000430.SZ,2021-07-01
000430.SZ,2021-07-02
000430.SZ,2021-07-05
000430.SZ,2021-07-06
000430.SZ,2021-07-07
000430.SZ,2021-07-08
000430.SZ,2021-07-09
000430.SZ,2021-07-12
000430.SZ,2021-07-13
000430.SZ,2021-07-14
000430.SZ,2021-07-15
000430.SZ,2021-07-16
000430.SZ,2021-07-19
000430.SZ,2021-07-20
000430.SZ,2021-07-21
000430.SZ,2021-07-22
000430.SZ,2021-07-23
000430.SZ,2021-07-26
000430.SZ,2021-07-27
000430.SZ,2021-07-28
000430.SZ,2021-07-29
000430.SZ,2021-07-30
000430.SZ,2021-08-02
000430.SZ,2021-08-03
000430.SZ,2021-08-04
000430.SZ,2021-08-05
000430.SZ,2021-08-06
000430.SZ,2021-08-09
000430.SZ,2021-08-10
000430.SZ,2021-08-11
000430.SZ,2021-08-12
000430.SZ,2021-08-13
000430.SZ,2021-08-16
000430.SZ,2021-08-17
000430.SZ,2021-08-18
000430.SZ,2021-08-19
000430.SZ,2021-08-20
000430.SZ,2021-08-23
000430.SZ,2021-08-24
000430.SZ,2021-08-25
000430.SZ,2021-08-26
000430.SZ,2021-08-27
000430.SZ,2021-08-30
000430.SZ,2021-08-31
000430.SZ,2021-09-01
000430.SZ,2021-09-02
000430.SZ,2021-09-03
000430.SZ,2021-09-06
000430.SZ,2021-09-07
000430.SZ,2021-09-08
000430.SZ,2021-09-09
000430.SZ,2021-09-10
000430.SZ,2021-09-13
000430.SZ,2021-09-14
000430.SZ,2021-09-15
000430.SZ,2021-09-16
000430.SZ,2021-09-17
000430.SZ,2021-09-22
000430.SZ,2021-09-23
000430.SZ,2021-09-24
000430.SZ,2021-09-27
000430.SZ,2021-09-28
000430.SZ,2021-09-29
000430.SZ,2021-09-30
000430.SZ,2021-10-08
000430.SZ,2021-10-11
000430.SZ,2021-10-12
000430.SZ,2021-10-13
000430.SZ,2021-10-14
000430.SZ,2021-10-15
000430.SZ,2021-10-18
000430.SZ,2021-10-19
000430.SZ,2021-10-20
000430.SZ,2021-10-21
000430.SZ,2021-10-22
000430.SZ,2021-10-25
